businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,workYear,salary,description
['人和'],重庆,象宿网络技术(北京)有限公司,象宿网络,50-150人,2018-11-12 11:54:16,渝北区,本科,移动互联网、金融,[],全职,4936833,3-5年,8k-12k,"职位描述：

1、构建运营数据分析体系，帮助确定各项运营数据指标；
2、负责用户行为数据分析，通过监控及分析，为市场营销、产品改进、运营调整提供建议；
3、构建用户数据模型，挖掘用户属性及用户喜好等需求，为产品设计及营销提供支持，
4、负责用户行为调研，通过海量数据的分析和挖掘，形成报告，提供给决策层。

任职要求：
1、本科以上学历，统计学、应用数学、计算机、金融等相关专业；
2、熟练掌握和运营相关数据分析软件；
3、具有数据分析挖掘等相关从业经验；
4、有互联网相关行业背景，有公司数据运营分析工作经验优先；
5、具备较强的规划和统筹能力，有较强的执行能力。"
,重庆,重庆未名生物经济有限公司,重庆未名,15-50人,2018-11-08 10:20:39,万盛区,本科,企业服务,[],全职,5250163,不限,5k-7k,"职位描述：

1、 数学、统计学或计算机专业
2、协助数据分析师和数据挖掘模型经理对公司数据和客户项目数据，进行分析挖掘，负责基础的数据处理工作 
3、熟练使用Excel、PPT
4、较强的数据敏感度，逻辑分析能力
5、有责任心，良好的沟通能力和组织协调能力以及心理承受能力，勇于接受挑战"
,重庆,重庆玖舆博泓科技有限公司,重庆玖舆博泓科技有限公司,50-150人,2018-11-09 10:46:48,渝北区,硕士,"数据服务,其他",[],全职,5259622,3-5年,10k-15k,"职位描述：

职位描述：
学历要求：硕士及以上学历（特别优先的可以放宽至本科）
专业要求：统计学、数学、经济学、计算机等相关专业
工作职责：
1、可独立完成数据分析项目过程中的数据预处理、数据探索及数据分析挖掘建模；
2、实施数据特征工程进行挖掘算法模型构建，可完成IT系统部署，并持续优化模型应用效果。
知识技能：
1、较使用SQL、HSQL进行数据统计和数据探索；
2、熟练掌握数理统计理论及方法，可熟练应用数据挖掘及机器学习常用算法；
3、熟练使用Mahout\Caffe\SPARK-MLlib\Python\R等一种机器学习工具及数据分析工具；
3、有电信运营商、互联网行业数据分析/挖掘建模经验者优先。
综合素质：
1、3年以上数据分析、数据挖掘算法设计及开发工作经验；
2、具备良好的客户需求理解能力，良好的沟通和表达能力。
3、工作态度积极主动，热爱学习。
4、具有良好的团队合作精神、团队协作能力。"
,重庆,广州佰聆信息科技有限公司,佰聆数据,150-500人,2018-11-12 09:32:29,江北区,本科,数据服务,[],全职,5069857,1-3年,6k-12k,"职位描述：

岗位职责：
1、负责行业数据挖掘分析项目工作，配合项目经理完成项目需求分析；
2、沟通客户实际分析需求，将客户需求准确转化为可执行的数学模型，针对不同的应用场景，负责编写数据挖掘算法及对其的优化；
3、完成相关数据抽取、数据清洗、数据探索、数据建模分析，并对数据模型进行优化等工作；
4、按要求完成数据分析报告、建模报告等；
专业素质要求：
1、统计学或数学相关专业；
2、有扎实的编程基础，至少熟练使用SAS、R、Python等任意一种分析工具并有实际工程经验和能力；
3、熟悉掌握各种模型算法，并能够将数据产品和业务需求等商业问题，转化为可操作的数据模型问题；
4、具有良好的沟通及团队协作能力；
5、具有很强的主动性及学习能力； 
优先条件：
1、有相关电网的数据分析挖掘经验优先；
2、熟练使用Python优先。"
,重庆,重庆广睿达科技有限公司,重庆广睿达科技有限公司,15-50人,2018-10-16 14:03:21,渝北区,大专,"企业服务,数据服务",[],全职,4065256,1-3年,4k-8k,"职位描述：


岗位职责：
1、 环保大数据采集与预处理；
2、 环保预报预警模型及算法的研究与开发；
3、 环保污染溯源模型及算法的研究与开发；
 4、 环保专题数据分析与报告撰写。
任职要求：
1、 大学本科及以上学历，环境类专业毕业，大气污染防治方向毕业生优先；本科两年以上工作经验，研究生不要求工作经验。
2、工作认真负责，较强的学习能力，良好的团队合作精神。"
,重庆,重庆康洲大数据有限公司,药智网,150-500人,2018-10-25 11:04:03,南岸区,硕士,"移动互联网,医疗健康","['大数据', '数据库开发', '数据处理']",全职,5009664,1-3年,4k-8k,"职位描述：

岗位职责：
1.医药专利数据的采集、整理，标准化处理、上传；
2.维护、协助优化专利数据库，及时解决数据库出现的Bug；
3.掌握专利数据库使用方法，为客户服务部门提供数据支持解决客户问题；
4.跟踪国内外专利产品最新研发进展，查询、收集和整理国内外医药专利和相关信息；
5.及时总结已完成工作并形成SOP，以专业知识协助公司其他部门完成工作。
任职要求：
1.医药相关专业，本科以上学历，硕士优先；对小分子化学药物结构、类型认识深刻，对药物研发流程有一定了解者优先；
2.专业基础扎实，有相关科研经历者优先；
3.具备一定的专利知识，对专利法规、审查流程、文献类别等有一定了解；
4.具备良好的英语阅读能力，能够熟练检索和阅读英文专利文献；
5.具备强烈的好奇心和探索精神，喜欢追踪事物发展变化过程。"
['大竹林'],重庆,重庆道微投资管理有限公司,重庆道微投资,15-50人,2018-10-23 16:50:32,渝北区,本科,金融,['基金'],全职,3506696,不限,4k-6k,"职位描述：

职位描述：
1.投资数据收集整理
2.投资文档整理
3.辅助交易模型分析和评估，可行性分析；
4.财务报表分析

职位要求：
1、二本以上学历，经济，数学，金融，财会相关专业优先，应届生，实习生亦可；
2、对财务，交易，期货，股票，外汇等金融基础知识有了解的优先；
3、踏实，有责任心，有强烈的自我驱动力和学习的意愿，愿意在金融数据分析领域追求长期事业发展；
4、英语四级及以上，会编程的优先。"
"['解放碑', '七星岗', '较场口']",重庆,重庆商社电子商务有限公司,世纪购,50-150人,2018-10-24 15:42:38,渝中区,大专,电子商务,"['大数据', '数据挖掘']",全职,4686003,3-5年,8k-16k,"职位描述：

岗位职责：
1、负责零售行业客群及销售大数据分析需求的收集与汇报；
2、负责远程监控及远程诊断功能开发的技术支持；
3、熟悉Hadoop; 熟悉常用推荐算法、机器学习、数据挖掘领域的热点和前沿技术
4、独立研究数据挖掘模型，参与数据挖掘模型的构建、维护和评估工作。
任职资格：
1、对Hadoop的大数据体系有深入认识，对Hadoop、Hive、Impala、HBase、Spark、ES等有实际应用研发经验，对大数据的某一技术领域有深入了解；
2、很强的学习、分析和解决问题能力，良好的团队意识和协作精神，有较强的内外沟通能力；
3、对数据有足够的敏感度，具备必要的产品管理意识与产品设计能力，对互联网用户端产品有良好的感觉；
4、精通Java，有良好的面向对象思想，熟悉Python/R编程等语言优先；
5.有大数据项目、数据仓库、数据分析及数据挖掘等经验者优先。"
"['龙溪', '冉家坝']",重庆,重庆优启科技有限公司,重庆优启科技有限公司,50-150人,2018-11-12 09:17:02,渝北区,本科,"移动互联网,电子商务",[],全职,5274437,3-5年,7k-14k,"职位描述：

工作职责：1、基于产品、项目等，参与相关分析工作；2、负责具体分析需求的沟通、方案设计、执行、跟进及结果输出，并有效推进分析结论的使用；3、通过专业的分析能力，深入研究用户、数据、方案，为产品优化提供客观科学的支持或方向性指引；4、将研究结论量化为可供产品与设计进行优化的具体实施方案，具备与产品经理、设计师合作的能力。5、能从多种角度（用户、数据、产品、运营）去分析外部门新提案的合理性，对外部门需求进行跟进、给与合理意见，共同提升产品体验与效果。以上分析工作的具体类型包含但不限于：语义分析、用户研究、竞品分析、数据分析、产品分析、运营分析、具体方案输出、效果追踪等。工作要求：1、具有社会学、统计学、数学、心理学、人机工程学等相关专业本科以上学历；2、能够熟练运用科学性分析工具和方法，包括但不限于：问卷、访谈、可用性测试、SPSS、竞品反推等等。3、要求人员综合素质高、学习能力强、逻辑性强，会主动寻找解决方案；4、主动性强，责任感强，主人翁意识强，有较强的洞察力和推进事务的能力。5、良好的沟通、表达能力（包括口头和书面），积极乐观，待人真诚；"
['大竹林'],重庆,重庆猪八戒网络有限公司,猪八戒网,2000人以上,2018-10-30 10:56:44,渝北区,本科,"企业服务,硬件","['大数据', '金融', 'SQL']",全职,4367648,3-5年,10k-20k,"职位描述：

岗位职责：
1. 业务数据报表设计、开发及日常维护 ；2. 对现有数据分析平台进行功能维护、性能优化和系统升级；3. 及时响应数据统计分析需求，并根据数据分析结果提出业务策略建议 ；4. 结合业务特点，探索并建立分析主题，对数据进行深度分析和挖掘。
任职要求：
1. 本科或以上学历，计算机、统计、数学等相关专业毕业；2. 熟练使用SQL和R软件，熟练使用MySQL/PosgreSQL/Oracle中至少一种数据库；4. 熟悉Hadoop、spark/storm或在MPI并行环境有应用实践经验；5. 充分的数据敏感度，能从海量数据表现中提炼核心结果，及时分析数据中隐含的变化和问题；6. 优秀的分析问题和解决问题的能力，能够把合理的思路成功应用于实践；7. 表达能力强，具备优秀的快速学习能力、沟通协调能力及团队精神；8. 有较强的责任心和学习积极性。"
['大竹林'],重庆,重庆猪八戒网络有限公司,猪八戒网,2000人以上,2018-10-15 13:52:14,渝北区,本科,"企业服务,硬件","['大数据', '企业服务', 'SQL', 'SPSS', '可视化']",全职,5178485,3-5年,8k-15k,"职位描述：

岗位职责1. 能利用数据分析手段，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析，并通过分析潜在业务机会给出建议；2. 对海量数据进行挖掘，发现其潜在关系，为公司运营和产品策略提供数据支持及建议3. 配合业务部门的项目给予数据支持，跟踪分析网站日、周、月数据，定期提供分析报表，建立监控指标体系，监控数据异常波动4. 通过大数据挖掘用户群体行为和属性特征，帮助业务更好的理解客户任职资格：1. 具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；2. 良好的数据敏感度,能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验3. 具备良好的抗压能力、沟通能力、逻辑思维能力，有独立开展分析研究项目经验4. 数学、统计、计算机等相关专业优先5. 具备良好的抗压能力、沟通能力、逻辑思维能力"
,重庆,重庆玖舆博泓科技有限公司,重庆玖舆博泓科技有限公司,50-150人,2018-11-09 10:46:54,渝北区,本科,"数据服务,其他","['大数据', '通信/网络设备', 'SQL', '数据库', '商业']",全职,5046734,3-5年,10k-15k,"职位描述：

学历要求：本科及以上学历
专业要求：统计学、数学、经济学、计算机等相关专业
工作职责：
1、熟悉数据库基本操作，为业务运营提供数据支持，协助形成业务运营分析报告，确保准确性、实用性及可衡量性。
2、可独立完成数据分析项目过程中的数据需求编写、数据探索分析和分析结果可视化展示工作，编写数据分析报告
3、实施数据特征工程进行挖掘模型构建，完成IT系统部署，并持续优化应用效果。
知识技能：
1、熟练使用SQL、HSQL进行数据统计和探索。
2、掌握数据分析基本理论方法，熟悉数据挖掘常用算法，至少熟练使用SPSS、Python、R等一种数据挖掘方法。
3、有电信运营商、互联网行业数据分析/挖掘建模经验者优先。
4、对用户行为研究有深入了解，咨询行业背景优先。
综合素质：
1、3年以上工作经验，具备良好的客户需求理解能力，良好的沟通和表达能力。
2、工作态度积极主动，热爱学习。
3、具有良好的团队合作精神、团队协作能力。"
['工业路'],福州,福州龙腾简合网络技术有限公司,龙腾简合,500-2000人,2018-11-12 10:06:00,台江区,本科,"游戏,移动互联网",['游戏'],全职,5290822,不限,5k-10k,"职位描述：

岗位职责:
1、配合需求部门独立进行游戏活动质量的评估和优化；
2、配合需求部门独立进行游戏业务功能的评估和优化；
3、协助分析主管进行数据项目的跟进和管理。

任职资格:
1、本科以上学历，计算机、软件开发, 统计学, 数学, 经济学等相关专业；
2、工作经验不限，深度游戏玩家、有游戏行业或互联网行业优先；
3、熟练使用SQL、Excel，并能进行数据分析和可视化呈现；
4、工作积极、主动，较强的沟通和自我管理能力。"
